INFY	INFOSYS LIMITED
SRTRANSFIN	SHRIRAM TRANSPORT FIN CO.
SRF	SRF LTD
MOTHERSUMI	MOTHERSON SUMI SYSTEMS LT
HCL-INSYS	HCL INFOSYSTEMS LTD
IFCI	IFCI LTD
BHARATFIN	BHARAT FIN INCLUSION LTD
ZEEL	ZEE ENTERTAINMENT ENT LTD
UBL	UNITED BREWERIES LTD
HEROMOTOCO	HERO MOTOCORP LIMITED
ALBK	ALLAHABAD BANK
RBL	RANE BRAKE LINING LTD
WIPRO	WIPRO LTD
IDEA	IDEA CELLULAR LIMITED
EQUITAS	EQUITAS HOLDINGS LIMITED
ICICIPRULI	ICICI PRU LIFE INS CO LTD
BALRAMCHIN	BALRAMPUR CHINI MILLS LTD
BANKINDIA	BANK OF INDIA
M&MFIN	M&M FIN. SERVICES LTD
MARICO	MARICO LIMITED
RECLTD	RURAL ELEC CORP. LTD.
CASTROLIND	CASTROL INDIA LIMITED
CEATLTD	CEAT LIMITED
UNIONBANK	UNION BANK OF INDIA
JKTYRE	JK TYRE & INDUSTRIES LTD
INDIACEM	THE INDIA CEMENTS LIMITED
BIOCON	BIOCON LIMITED.
ADANIPORTS	ADANI PORT & SEZ LTD
TITAN	TITAN COMPANY LIMITED
APOLLOTYRE	APOLLO TYRES LTD
RADICO	RADICO KHAITAN LTD
SAIL	STEEL AUTHORITY OF INDIA
TATACOMM	TATA COMMUNICATIONS LTD
DWARKESH	DWARIKESH SUGAR IND LTD
WOCKPHARMA	WOCKHARDT LIMITED
PETRONET	PETRONET LNG LIMITED
ASHOKLEY	ASHOK LEYLAND LTD
JSWENERGY	JSW ENERGY LIMITED
PFC	POWER FIN CORP LTD.
JUBILANT	JUBILANT LIFE SCIENCE LTD
UPERGANGES	UPPER GANGES SUGAR & INDS
MCDOWELL-N	UNITED SPIRITS LIMITED
COROMANDEL	COROMANDEL INTERNTL. LTD
BRITANNIA	BRITANNIA INDUSTRIES LTD
DISHTV	DISH TV INDIA LTD.
INFRATEL	BHARTI INFRATEL LTD.
ORIENTBANK	ORIENTAL BANK OF COMMERCE
NBCC	NBCC (INDIA) LIMITED
UPL	UPL LIMITED
CHENNPETRO	CHENNAI PETROLEUM CORP LT
BODALCHEM	BODAL CHEMICALS LTD
DHAMPURSUG	DHAMPUR SUGAR MILLS LTD.
KSCL	KAVERI SEED CO. LTD.
TVSMOTOR	TVS MOTOR COMPANY  LTD
TFCILTD	TOURISM FINANCE CORP. OF
GOACARBON	GOA CARBON LIMITED
BAJAJFINSV	BAJAJ FINSERV LTD.
MAGMA	MAGMA FINCORP LIMITED
DOLPHINOFF	DOLPHIN OFF. ENT IND LTD.
TV18BRDCST	TV18 BROADCAST LIMITED
MERCATOR	MERCATOR LIMITED
MUKTAARTS	MUKTA ARTS LIMITED
DCW	DCW LTD
DIVISLAB	DIVI'S LABORATORIES LTD
SINTEX	SINTEX INDUSTRIES LTD
ULTRACEMCO	ULTRATECH CEMENT LIMITED
IRB	IRB INFRA DEV LTD.
OIL	OIL INDIA LTD
RUCHIRA	RUCHIRA PAPERS LIMITED
ADANIENT	ADANI ENTERPRISES LIMITED
L&TFH	L&T FINANCE HOLDINGS LTD
WELSPUNIND	WELSPUN INDIA LTD
KOTAKBANK	KOTAK MAHINDRA BANK LTD
ATLASCYCLE	ATLAS CYCLE (HARYANA) LTD
UNITECH	UNITECH LTD
RDEL	RELIANCE DEF AND ENGI LTD
JSWSTEEL	JSW STEEL LIMITED
JKPAPER	JK PAPER LIMITED
AMBUJACEM	AMBUJA CEMENTS LTD
MGL	MAHANAGAR GAS LTD.
HINDZINC	HINDUSTAN ZINC LIMITED
KANORICHEM	KANORIA CHEMICALS & INDUS
SUZLON	SUZLON ENERGY LIMITED
SUNILHITEC	SUNIL HITECH ENGR. LTD
HDFCBANK	HDFC BANK LTD
DRREDDY	DR. REDDY'S LABORATORIES
EDELWEISS	EDELWEISS FIN SERV LTD
TATAELXSI	TATA ELXSI LIMITED
PIDILITIND	PIDILITE INDUSTRIES LTD
JUSTDIAL	JUSTDIAL LTD.
ACC	ACC LIMITED
ABIRLANUVO	ADITYA BIRLA NUVO LIMITED
GRASIM	GRASIM INDUSTRIES LTD
SHREEPUSHK	SHRE PUSH CHEM & FERT LTD
BATAINDIA	BATA INDIA LTD
KPIT	KPIT TECHNOLOGIES LTD
HINDOILEXP	HINDUSTAN OIL EXPLORATION
JISLJALEQS	JAIN IRRIGATION SYSTEMS
AJANTPHARM	AJANTA PHARMA LIMITED
JPASSOCIAT	JAIPRAKASH ASSOCIATES LTD
POWERGRID	POWER GRID CORP. LTD.
APOLLOHOSP	APOLLO HOSPITALS ENTER. L
ZEEMEDIA	ZEE MEDIA CORPORATION LTD
TIDEWATER	TIDE WATER OIL LTD
MARKSANS	MARKSANS PHARMA LIMITED
CROMPGREAV	CROMPTON GREAVES LTD
GLENMARK	GLENMARK PHARMACEUTICALS
TBZ	TRIB BHIMJI ZAVERI LTD
IDFC	IDFC LIMITED
KESORAMIND	KESORAM INDUSTRIES LTD
EXCELINDUS	EXCEL INDUSTRIES LTD
INDIGO	INTERGLOBE AVIATION LTD
PTC	PTC INDIA LIMITED
CADILAHC	CADILA HEALTHCARE LIMITED
REDINGTON	REDINGTON (INDIA) LTD.
ORIENTPPR	ORIENT PAPER AND INDS LTD
EXIDEIND	EXIDE INDUSTRIES LTD
SELAN	SELAN EXPLO. TECH LTD
VIPIND	VIP INDUSTRIES LTD
NOCIL	NOCIL LIMITED
EIDPARRY	EID PARRY INDIA LTD
KTKBANK	KARNATAKA BANK LIMITED
NCC	NCC LIMITED
GTL	GTL LTD
KIRIINDUS	KIRI INDUSTRIES LIMITED
TNPL	TAMILNADU NEWSPRT & PAPER
COLPAL	COLGATE PALMOLIVE LTD.
VOLTAS	VOLTAS LTD
ADANIPOWER	ADANI POWER LTD
GMBREW	G M BREWERIES LTD
8KMILES	8K MILES SOFT SERV LTD
ORIENTCEM	ORIENT CEMENT LTD.
IPAPPM	INTERNATIONALPAPERAPPMLTD
VIVIMEDLAB	VIVIMED LABS LIMITED
MRF	MRF LTD
AARTIDRUGS	AARTI DRUGS LTD.
AMARAJABAT	AMARA RAJA BATTERIES LTD.
BALLARPUR	BALLARPUR INDUSTRIES LTD
TIMETECHNO	TIME TECHNOPLAST LTD.
SCHNEIDER	SCHNEIDER ELECTRIC INFRA
MANAPPURAM	MANAPPURAM FINANCE LTD
KAKATCEM	KAKATIYA CEM SUGAR &IND L
EICHERMOT	EICHER MOTORS LTD
KANSAINER	KANSAI NEROLAC PAINTS LTD
JINDALSAW	JINDAL SAW LIMITED
FEDERALBNK	FEDERAL BANK LTD
ANDHRABANK	ANDHRA BANK
BFUTILITIE	BF UTILITIES LIMITED
INOXLEISUR	INOX LEISURE LIMITED
MIRZAINT	MIRZA INTERNATIONAL LIMIT
OMAXE	OMAXE LIMITED
DBREALTY	D B REALTY LIMITED
RML	RANE (MADRAS) LIMITED
PRICOL	PRICOL LIMITED
HCC	HINDUSTAN CONSTRUCTION CO
TATACHEM	TATA CHEMICALS LTD
UJJIVAN	UJJIVAN FIN. SERVC. LTD.
RPOWER	RELIANCE POWER LTD.
MANALIPETC	MANALI PETROCHEMICALS LT
GODFRYPHLP	GODFREY PHILLIPS INDIA LT
VIKASECO	VIKAS ECOTECH LIMITED
SATIN	SATIN CREDIT NET LTD
HPL	HPL ELECTRIC & POWER LTD
TATACOFFEE	TATA COFFEE LIMITED
BAJAJELEC	BAJAJ ELECT.LTD
QUESS	QUESS CORP LIMITED
PEL	PIRAMAL ENTERPRISES LTD
TVTODAY	TV TODAY NETWORK LTD
EROSMEDIA	EROS INTL MEDIA LTD
GLOBUSSPR	GLOBUS SPIRITS LTD
WSTCSTPAPR	WEST COAST PAPER MILLS LT
JSL	JINDAL STAINLESS LIMITED
SIEMENS	SIEMENS LTD
BEL	BHARAT ELECTRONICS LTD
PATELENG	PATEL ENGINEERING LTD.
AMTEKAUTO	AMTEK AUTO LTD.
BBTC	BOMBAY BURMAH TRADING COR
J&KBANK	J & K BANK LTD.
INFIBEAM	INFIBEAM INCORP. LIMITED
TORNTPHARM	TORRENT PHARMACEUTICALS L
GOKEX	GOKALDAS EXPORTS LTD.
STRTECH	STERLITE TECHNOLOGIES LTD
MOIL	MOIL LIMITED
GATI	GATI LIMITED
PVR	PVR LIMITED
ALEMBICLTD	ALEMBIC LIMITED
CESC	CESC LTD
RAIN	RAIN INDUSTRIES LIMITED
LAXMIMACH	LAKSHMI MACHINES LTD
MEGH	MEGHMANI ORGANICS LTD.
KOPRAN	KOPRAN LTD
SESHAPAPER	SESHASAYEE PAPER & BOARDS
ADVENZYMES	ADVANCED ENZYME TECH LTD
MAXINDIA	MAX INDIA LIMITED
TRIVENI	TRIVENI ENGG. & INDS. LTD
SUNDRMFAST	SUNDRAM FASTENERS LTD
OBEROIRLTY	OBEROI REALTY LIMITED
SWANENERGY	SWAN ENERGY LIMITED
NBVENTURES	NAVA BHARAT VENTURES LIMI
ICIL	INDO COUNT INDUSTRIES LTD
MUTHOOTFIN	MUTHOOT FINANCE LIMITED
TORNTPOWER	TORRENT POWER LTD
LAKSHMIEFL	LAKSHMI ENG. & FOODS LTD
ONMOBILE	ONMOBILE GLOBAL LTD.
INDIANB	INDIAN BANK
DEEPIND	DEEP INDUSTRIES LTD
UFLEX	UFLEX LIMITED
GMDCLTD	GUJARAT MINERAL DEV CORP
DCBBANK	DCB BANK LIMITED
PRECWIRE	PRECISION WIRES INDIA LTD
NATIONALUM	NATIONAL ALUMINIUM CO LTD
IOLCP	IOL CHEM AND PHARMA LTD
SSWL	STEEL STRIPS WHEELS LTD.
BLISSGVS	BLISS GVS PHARMA LTD
PRABHAT	PRABHAT DAIRY LIMITED
PERSISTENT	PERSISTENT SYSTEMS LTD
BPL	BPL LTD
MCLEODRUSS	MCLEOD RUSSEL INDIA LTD.
EMAMILTD	EMAMI LIMITED
LLOYDELENG	LLOYD ELECTRIC & ENGG LTD
APTECHT	APTECH LIMITED
MINDTREE	MINDTREE LIMITED
TIRUMALCHM	THIRUMALAI CHEMICALS LTD
GPPL	GUJARAT PIPAVAV PORT LTD
MUNJALAU	MUNJAL AUTO IND. LTD.
SUMEETINDS	SUMEET IND LIMITED
RAJESHEXPO	RAJESH EXPORTS LTD
GTOFFSHORE	GOL OFFSHORE LIMITED
RANEHOLDIN	RANE HOLDINGS LIMITED
RUSHIL	RUSHIL DECOR LIMITED
IVC	IL&FS INVESTMENT MANAGERS
KSL	KALYANI STEELS LIMITED
HEXAWARE	HEXAWARE TECHNOLOGIES LTD
NAUKRI	INFO EDGE (I) LTD
INDHOTEL	THE INDIAN HOTELS CO. LTD
MFSL	MAX FINANCIAL SERV LTD
STAR	STRIDES SHASUN LIMITED
ATLANTA	ATLANTA LIMITED
KCP	KCP LTD
BALKRISIND	BALKRISHNA IND. LTD
AIAENG	AIA ENGINEERING LIMITED
NIITTECH	NIIT TECHNOLOGIES LTD
ABFRL	ADITYA BIRLA FASHION & RT
CARERATING	CARE LIMITED
RICOAUTO	RICO AUTO INDUSTRIES LTD
COX&KINGS	COX & KINGS LIMITED
VENUSREM	VENUS REMEDIES LIMITED
HATHWAY	HATHWAY CABLE & DATACOM
SYNDIBANK	SYNDICATE BANK
GNFC	GUJ NAR VAL FER & CHEM L
BEML	BEML LIMITED
IL&FSTRANS	IL&FS TRANS NET LTD
TRIDENT	TRIDENT LIMITED
ORTINLABSS	ORTIN LABORATORIES LTD
BOSCHLTD	BOSCH LIMITED
PAGEIND	PAGE INDUSTRIES LTD
NDL	NANDAN DENIM LIMITED
HBLPOWER	HBL POWER SYSTEMS LTD.
TVSELECT	TVS ELECTRONICS LTD
CONCOR	CONTAINER CORP OF IND LTD
GHCL	GHCL LIMITED
RANEENGINE	RANE ENG VALVE LTD
ABGSHIP	ABG SHIPYARD LTD
TATASPONGE	TATA SPONGE IRON LIMITED
BAJAJHLDNG	BAJAJ HOLDINGS & INVS LTD
SUNFLAG	SUNFLAG IRON AND STEEL CO
BHAGERIA	BHAGERIA INDUSTRIES LTD
DALMIASUG	DALMIA BHARAT SUG IN LTD
FORTIS	FORTIS HEALTHCARE LTD
GODREJIND	GODREJ INDUSTRIES LTD
HERCULES	HERCULES HOI. LTD.
SUNDRMBRAK	SUNDARAM BRAK LININGS LTD
RIIL	RELIANCE INDUSTRIAL INFRA
ADLABS	ADLABS ENTERTAINMENT LTD.
INDOTECH	INDO TECH TRANSFORM LTD.
OUDHSUG	THE OUDH SUGAR MILLS LTD
CARBORUNIV	CARBORUNDUM UNIVERSAL LTD
SREINFRA	SREI INFRASTRUCTURE FINAN
PHILIPCARB	PHILIPS CARBON BLACK LTD
IBVENTURES	INDIABULLS VENTURES LTD
ECLERX	ECLERX SERVICES LTD
PCJEWELLER	PC JEWELLER LTD
STARPAPER	STAR PAPER MILLS LTD
RAYMOND	RAYMOND LTD
AKSHOPTFBR	AKSH OPTIFIBRE LIMITED
SUVEN	SUVEN LIFE SCIENCES LTD
JKCEMENT	JK CEMENT LIMITED
DEEPAKNTR	DEEPAK NITRITE LTD
PFS	PTC INDIA FIN SERV LTD
VTL	VARDHMAN TEXTILES LIMITED
FINANTECH	FINANCIAL TECHNO (I) LTD
VAKRANGEE	VAKRANGEE LIMITED
GRUH	GRUH FINANCE LTD.
WHIRLPOOL	WHIRLPOOL OF INDIA LTD
ELGIRUBCO	ELGI RUBBER CO. LTD
RCF	RASHTRIYA CHEMICALS & FER
EMCO	EMCO LIMITED
UGARSUGAR	THE UGAR SUGAR WORKS LTD
ORISSAMINE	ORISSA MIN DEV CO LTD
AARTIIND	AARTI INDUSTRIES LTD
TATAMETALI	TATA METALIKS LTD
CAPF	CAPITAL FIRST LIMITED
INOXWIND	INOX WIND LIMITED
HSCL	HIMADRI SPECIALITY CHEM L
BIRLACORPN	BIRLA CORPORATION LTD
CROMPTON	CROMPT GREA CON ELEC LTD
PRESTIGE	PRESTIGE ESTATE LTD
FCSSOFT	FCS SOFTWARE SOLN. LTD.
SHARDACROP	SHARDA CROPCHEM LTD.
BALKRISHNA	BALKRISHNA PAPER MILLS L
NILAINFRA	NILA INFRASTRUCTURES LTD
TVSSRICHAK	TVS SRICHAKRA LIMITED
GRANULES	GRANULES INDIA LIMITED
ADI	ADI FINECHEM LIMITED
TWL	TITAGARH WAGONS LTD.
UNIPLY	UNIPLY INDUSTRIES LIMITED
GMRINFRA	GMR INFRASTRUCTURE LTD.
SAKHTISUG	SAKTHI SUGARS LTD
CHAMBLFERT	CHAMBAL FERTILIZERS LTD
ORCHIDPHAR	ORCHID PHARMA LIMITED
IGPL	I G PETROCHEMICALS LTD
BERGEPAINT	BERGER PAINTS (I) LTD
RTNPOWER	RATTANINDIA POWER LIMITED
FIEMIND	FIEM INDUSTRIES LIMITED
JMFINANCIL	JM FINANCIAL LIMITED
UBHOLDINGS	UNITED BREW. (HOLD.) LTD
GDL	GATEWAY DISTRIPARKS LTD.
V2RETAIL	V2 RETAIL LIMITED
GSKCONS	GLAXOSMITHKLINE CONSUMER
VGUARD	V-GUARD IND LTD.
PDUMJEPULP	PUDUMJEE PULP & PAPER MIL
MALUPAPER	MALU PAPER MILLS LIMITED
MOTILALOFS	MOTILAL OSWAL FIN LTD
INTELLECT	INTELLECT DESIGN ARENA
HIMATSEIDE	HIMATSINGKA SEIDE LTD
CAREERP	CAREER POINT LIMITED
ALPHAGEO	ALPHAGEO (INDIA) LIMITED
RENUKA	SHREE RENUKA SUGARS LTD
JAICORPLTD	JAI CORP LIMITED
BALAJITELE	BALAJI TELEFILMS LIMITED.
PENIND	PENNAR INDUSTRIES LTD
MANINFRA	MAN INFRA LTD
AMRUTANJAN	AMRUTAJAN HEALTH LTD
SRIPIPES	SRIKALAHASTHI PIPES LTD
CENTRALBK	CENTRAL BANK OF INDIA
BHARATGEAR	BHARAT GEARS LTD.
CCL	CCL PRODUCTS (I) LTD
VIDEOIND	VIDEOCON INDUSTRIES LIMIT
KMSUGAR	K M SUGAR MILLS LTD
LINDEINDIA	LINDE INDIA LIMITED
SNOWMAN	SNOWMAN LOGISTICS LTD.
ABB	ABB INDIA LIMITED
BAJAJHIND	BAJAJ HINDUSTHAN SUGAR LT
SEAMECLTD	SEAMEC LIMITED
SBT	STATE BANK OF TRAVANCORE
ARIES	ARIES AGRO LTD.
JPPOWER	JAIPRAKASH POWER VEN. LTD
SUDARSCHEM	SUDARSHAN CHEMICAL INDS L
ANANTRAJ	ANANT RAJ LIMITED
ADANITRANS	ADANI TRANSMISSION LTD
CAMLINFINE	CAMLIN FINE SCIENCES LTD
NHPC	NHPC LTD
GAEL	GUJARAT AMBUJA EXPORTS LT
WELENT	WELSPUN ENTERPRISES LTD.
LTI	L&T INFOTECH LIMITED
GSPL	GUJARAT STATE PETRO LTD
HERITGFOOD	HERITAGE FOODS LTD
VIPULLTD	VIPUL LIMITED
ORIENTABRA	ORIENT ABRASIVE LTD
GNA	GNA AXLES LIMITED
CUMMINSIND	CUMMINS INDIA LTD
HIKAL	HIKAL LIMITED
RALLIS	RALLIS INDIA LTD
CHOLAFIN	CHOLAMANDALAM IN & FIN CO
TATAINVEST	TATA INVESTMENT CORP LTD
DHARSUGAR	DHARANI SUGARS & CHEMICAL
INDRAMEDCO	INDRAPRASTHA MEDICAL CORP
ENERGYDEV	ENERGY DEVE. CO.LTD
BANCOINDIA	BANCO PRODUCTS (I) LTD
FSL	FIRSTSOURCE SOLU. LTD.
LIQUIDBEES	LIQUID GOLDMAN SACHS ETF
ALKEM	ALKEM LABORATORIES LTD.
APLLTD	ALEMBIC PHARMA LTD
NILKAMAL	NILKAMAL LIMITED
OMKARCHEM	OMKAR SPL CHEM LTD
SPARC	SUN PHARMA ADV.RES.CO.LTD
CLNINDIA	CLARIANT CHEMICALS (INDIA
JINDRILL	JINDAL DRILLING IND. LTD
NATCOPHARM	NATCO PHARMA LTD.
NESTLEIND	NESTLE INDIA LIMITED
ARCOTECH	ARCOTECH LIMITED
SUPREMETEX	SUPREME TEX MART LIMITED
COSMOFILMS	COSMO FILMS LTD
ATULAUTO	ATUL AUTO LIMITED
JAGRAN	JAGRAN PRAKASHAN LIMITED
BHUSANSTL	BHUSHAN STEEL LIMITED
DALMIABHA	DALMIA BHARAT LIMITED
MOREPENLAB	MOREPEN LAB. LTD
TRIL	TRANS & RECTI. LTD
MPHASIS	MPHASIS LIMITED
FINPIPE	FINOLEX INDUSTRIES LTD
HARRMALAYA	HARRISON MALAYALAM LTD
PRISMCEM	PRISM CEMENTS LTD
BYKE	THE BYKE HOSPITALITY LTD
ESSELPACK	ESSEL PROPACK LTD
PNCINFRA	PNC INFRATECH LTD.
AEGISCHEM	AEGIS LOGISTICS LIMITED
MMTC	MMTC LIMITED
LAKSHVILAS	LAKSHMI VILAS BANK LTD
ITDCEM	ITD CEMENTATION INDIA LTD
NCLIND	NCL INDUSTRIES LIMITED
NITCO	NITCO LIMITED
ASAHISONG	ASAHI SONGWON COLOR LTD
ANDHRSUGAR	ANDHRA SUGARS LTD
NIITLTD	NIIT LIMITED
JAYSREETEA	JAYSHREE TEA & INDUSTRIES
MEGASOFT	MEGASOFT LTD
SUPPETRO	SUPREME PETROCHEMICALS LT
PUNJLLOYD	PUNJ LLOYD LIMITED
FCEL	FUTURE CONSUMER ENT LTD
SMLISUZU	SML ISUZU LIMITED
JBFIND	JBF INDUSTRIES LTD
SONASTEER	SONA KOYO STER SYS LTD
GOLDBEES	GOLDMAN SACHS GOLD ETF
GABRIEL	GABRIEL INDIA LTD
SUBEX	SUBEX LIMITED
BALPHARMA	BAL PHARMA LTD.
MBLINFRA	MBL INFRASTRUCTURES LTD
KCPSUGIND	KCP SUGAR IND CORP LTD.
BAJAJCORP	BAJAJ CORP LIMITED
RPGLIFE	RPG LIFE SCIENCES LTD
PRATIBHA	PRATIBHA INDS. LTD.
THOMASCOOK	THOMAS COOK (INDIA) LTD
SHREECEM	SHREE CEMENTS LTD
DATAMATICS	DATAMATICS GLOBAL SER LTD
ESTER	ESTER INDUSTRIES LTD
BAYERCROP	BAYER CROPSCIENCE LTD
BURNPUR	BURNPUR CEMENT LTD.
MAWANASUG	MAWANA SUGARS LIMITED
UCOBANK	UCO BANK
VADILALIND	VADILAL INDUSTRIES LTD
STCINDIA	THE STATE TRADING CORPN
SASKEN	SASKEN COMMU TECHNO LTD
DLINKINDIA	D-LINK INDIA LTD
SIMBHALS	SIMBHAOLI SUGARS LTD.
TRIGYN	TRIGYN TECHNOLOGIES LTD
JAMNAAUTO	JAMNA AUTO IND LTD
SCI	SHIPPING CORP OF INDIA LT
GESHIP	THE GE SHPG.LTD
OFSS	ORACLE FIN SERV SOFT LTD.
KIRLOSBROS	KIRLOSKAR BROTHERS LTD
QUICKHEAL	QUICK HEAL TECH LTD
ROLTA	ROLTA INDIA LTD
AXISCADES	AXISCADES ENGG TECH LTD
BLUESTARCO	BLUE STAR LIMITED
KARURVYSYA	KARUR VYSYA BANK LTD
LALPATHLAB	DR. LAL PATH LABS LTD.
ALLCARGO	ALLCARGO LOGISTICS LTD
SUBROS	SUBROS LIMITED
VIJIFIN	VIJI FINANCE LIMITED
DREDGECORP	DREDGING CORP OF INDIA
GUJGASLTD	GUJARAT GAS LIMITED
ARVINFRA	ARVIND INFRASTRUCTURE LTD
INDIAGLYCO	INDIA GLYCOLS LTD
CGCL	CAPRI GLOBAL CAPITAL LTD
PRAJIND	PRAJ INDUSTRIES LTD
PRAKASH	PRAKASH INDUSTRIES LTD
SOBHA	SOBHA LIMITED
UTTAMSUGAR	UTTAM SUGAR MILLS LTD.
SARDAEN	SARDA ENERGY & MIN LTD
METALFORGE	METALYST FORGINGS LIMITED
JBCHEPHARM	J B CHEMICALS AND PHARMA
MAXVIL	MAX VENTURES AND INDS LTD
TIMKEN	TIMKEN INDIA LTD.
SMSPHARMA	SMS PHARMACEUTICALS LTD.
USHAMART	USHA MARTIN LTD.
PITTILAM	PITTI LAMINATIONS LTD
NECLIFE	NECTAR LIFESCIENCES LTD.
JINDALPOLY	JINDAL POLY FILMS LIMITED
SUPREMEIND	SUPREME INDUSTRIES LTD
GIPCL	GUJ IND POW CO. LTD
TARAJEWELS	TARA JEWELS LIMITED
GICHSGFIN	GIC HOUSING FINANCE LTD
GUJALKALI	GUJARAT ALKALIES & CHEM
TEXRAIL	TEXMACO RAIL & ENG. LTD.
MANPASAND	MANPASAND BEVERAGES LTD.
PIIND	PI INDUSTRIES LTD
SURYAROSNI	SURYA ROSHNI LTD
CERA	CERA SANITARYWARE LTD
LTTS	L&T TECHNOLOGY SER. LTD.
BVCL	BARAK VALLEY CEM. LTD.
KECL	KIRLOSKAR ELECTRIC CO LTD
DBL	DILIP BUILDCON LIMITED
EXCEL	EXCEL REALTY N INFRA LTD
ELECON	ELECON ENG. CO. LTD
KPRMILL	KPR MILL LTD.
AUTOLITIND	AUTOLITE (INDIA) LIMITED
BGRENERGY	BGR ENERGY SYSTEMS LTD
HFCL	HIMACHAL FUT COM LTD
KAYA	KAYA LIMITED
MASTEK	MASTEK LTD
A2ZINFRA	A2Z INFRA ENGINEERING LTD
BFINVEST	BF INVESTMENT LIMITED
CASTEXTECH	CASTEX TECHNOLOGIES LTD.
RANASUG	RANA SUGARS LTD.
WALCHANNAG	WALCHANDNAGAR INDUSTRIES
TAKE	TAKE SOLUTIONS LTD
TINPLATE	THE TINPLATE CO. (I) LTD
ALKALI	ALKALI METALS LTD
EKC	EVEREST KANTO CYLINDERLTD
GOODLUCK	GOODLUCK INDIA LIMITED
UCALFUEL	UCAL FUEL SYSTEMS LTD
MINDAIND	MINDA INDUSTRIES LTD.
VRLLOG	VRL LOGISTICS LIMITED
LYCOS	LYCOS INTERNET LIMITED
UMANGDAIRY	UMANG DAIRIES LIMITED
CUB	CITY UNION BANK LTD
PARAGMILK	PARAG MILK FOODS LTD.
SANGHIIND	SANGHI INDUSTRIES LTD
PINCON	PINCON SPIRIT LTD
SUNDARMFIN	SUNDARAM FINANCE LTD
HSIL	HSIL LIMITED
ALANKIT	ALANKIT LIMITED
TALBROAUTO	TALBROS AUTO. COMP. LTD
KEI	KEI INDUSTRIES LTD.
